【shimamoカバー】『スパークル／RADWIMPS（映画「君の名は。」挿入曲）』 🎙🎙🎙	shimamoカバー	None	スパークル	RADWIMPS	映画	君の名は。	挿入曲	None	 🎙🎙🎙
【shimamoカバー】『有心論／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	有心論	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『棒人間／RADWIMPS（ドラマ「フランケンシュタインの恋」主題歌）』 🎙🎙🎙	shimamoカバー	None	棒人間	RADWIMPS	ドラマ	フランケンシュタインの恋	主題歌	None	 🎙🎙🎙
【shimamoカバー】『me me she／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	me me she	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『トレモロ／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	トレモロ	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『いいんですか?／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	いいんですか?	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『セプテンバーさん／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	セプテンバーさん	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『25ｺ目の染色体／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	25ｺ目の染色体	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『ふたりごと／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	ふたりごと	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『サイハテアイニ／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	サイハテアイニ	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『最大公約数／RADWIMPS』 🎙🎙🎙	shimamoカバー	None	最大公約数	RADWIMPS	None	None	None	None	 🎙🎙🎙
【shimamoカバー】【君の名は。メドレー】『スパークル／RADWIMPS（映画「君の名は。」挿入曲）』 🎙🎙🎙	shimamoカバー	君の名は。メドレー	スパークル	RADWIMPS	映画	君の名は。	挿入曲	None	 🎙🎙🎙
【shimamoカバー】【君の名は。メドレー】『前前前世／RADWIMPS（映画「君の名は。」主題歌）』 🎙🎙🎙	shimamoカバー	君の名は。メドレー	前前前世	RADWIMPS	映画	君の名は。	主題歌	None	 🎙🎙🎙
【shimamoカバー】【君の名は。メドレー】『なんでもないや／RADWIMPS（映画「君の名は。」挿入曲）』 🎙🎙🎙	shimamoカバー	君の名は。メドレー	なんでもないや	RADWIMPS	映画	君の名は。	挿入曲	None	 🎙🎙🎙
【shimamoカバー】【君の名は。メドレー】『夢灯籠／RADWIMPS（映画「君の名は。」挿入曲）』 🎙🎙🎙	shimamoカバー	君の名は。メドレー	夢灯籠	RADWIMPS	映画	君の名は。	挿入曲	None	 🎙🎙🎙
【shimamoカバー】『高嶺の花子さん／back number』 🎙🎙🎙	shimamoカバー	None	高嶺の花子さん	back number	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『クリスマスソング／back number（ドラマ「５→９～私に恋したお坊さん～」主題歌）』 ​🎄​🎄​🎄	shimamoカバー	None	クリスマスソング	back number	ドラマ	５→９～私に恋したお坊さん～	主題歌	None	 ​🎄​🎄​🎄
【shimamoカバー】『瞬き／back number（映画「8年越しの花嫁 奇跡の実話」主題歌）』 🎙🎙🎙	shimamoカバー	None	瞬き	back number	映画	8年越しの花嫁 奇跡の実話	主題歌	None	 🎙🎙🎙
【shimamoカバー】『花束／back number』 💐💐💐	shimamoカバー	None	花束	back number	None	None	None	None	 💐💐💐
【shimamoカバー】『ヒロイン／back number』 🎙🎙🎙	shimamoカバー	None	ヒロイン	back number	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『ハッピーエンド／back number（映画「ぼくは明日、昨日のきみとデートする」主題歌）』 🎙🎙🎙	shimamoカバー	None	ハッピーエンド	back number	映画	ぼくは明日、昨日のきみとデートする	主題歌	None	 🎙🎙🎙
【shimamoカバー】『わたがし／back number』 🎙🎙🎙	shimamoカバー	None	わたがし	back number	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『青い春／back number』 🎙🎙🎙	shimamoカバー	None	青い春	back number	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『恋／back number』 🎙🎙🎙	shimamoカバー	None	恋	back number	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『日曜日／back number（ドラマ「スープカレー」主題歌）』 🎙🎙🎙	shimamoカバー	None	日曜日	back number	ドラマ	スープカレー	主題歌	None	 🎙🎙🎙
【shimamoカバー】『僕は君の事が好きだけど君は僕を別に好きじゃないみたい／back number』 🎙🎙🎙	shimamoカバー	None	僕は君の事が好きだけど君は僕を別に好きじゃないみたい	back number	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『大不正解／back number（映画「銀魂2 掟は破るためにこそある」主題歌）』 🎙🎙🎙	shimamoカバー	None	大不正解	back number	映画	銀魂2 掟は破るためにこそある	主題歌	None	 🎙🎙🎙
【shimamoカバー】『僕の名前を／back number（映画「オオカミ少女と黒王子」主題歌）』 🎙🎙🎙	shimamoカバー	None	僕の名前を	back number	映画	オオカミ少女と黒王子	主題歌	None	 🎙🎙🎙
【shimamoカバー】『笑顔／いきものがかり』 🎙🎙🎙	shimamoカバー	None	笑顔	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『SAKURA／いきものがかり』 🌸🌸🌸	shimamoカバー	None	SAKURA	いきものがかり	None	None	None	None	 🌸🌸🌸
【shimamoカバー】『YELL／いきものがかり』 🎙🎙🎙	shimamoカバー	None	YELL	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『ありがとう／いきものがかり』 🎙🎙🎙	shimamoカバー	None	ありがとう	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『茜色の約束／いきものがかり』 🎙🎙🎙	shimamoカバー	None	茜色の約束	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『ブルーバード／いきものがかり（アニメ「NARUTO疾風伝」OP3）』 🎙🎙🎙	shimamoカバー	None	ブルーバード	いきものがかり	アニメ	NARUTO疾風伝	OP3	None	 🎙🎙🎙
【shimamoカバー】『気まぐれロマンティック／いきものがかり』 🎙🎙🎙	shimamoカバー	None	気まぐれロマンティック	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『風が吹いている／いきものがかり』 🎙🎙🎙	shimamoカバー	None	風が吹いている	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『ノスタルジア／いきものがかり』 🎙🎙🎙	shimamoカバー	None	ノスタルジア	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『コイスルオトメ／いきものがかり』 🎙🎙🎙	shimamoカバー	None	コイスルオトメ	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『帰りたくなったよ／いきものがかり』 🎙🎙🎙	shimamoカバー	None	帰りたくなったよ	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『じょいふる／いきものがかり』 🎙🎙🎙	shimamoカバー	None	じょいふる	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『夏空グラフィティ／いきものがかり』 🎙🎙🎙	shimamoカバー	None	夏空グラフィティ	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『うるわしきひと／いきものがかり』 🎙🎙🎙	shimamoカバー	None	うるわしきひと	いきものがかり	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『Hero／安室奈美恵』 🎙🎙🎙	shimamoカバー	None	Hero	安室奈美恵	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『CAN YOU CELEBRATE?／安室奈美恵』 🎙🎙🎙	shimamoカバー	None	CAN YOU CELEBRATE?	安室奈美恵	None	None	None	None	 🎙🎙🎙
【shimamoカバー】『Don't wanna cry／安室奈美恵』 🎙🎙🎙	shimamoカバー	None	Don't wanna cry	安室奈美恵	None	None	None	None	 🎙🎙🎙
